Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;
0.62002;-0.488253;0.00632245;-1108.49;-17.8985;20.344;-0.00184428;-0.0231941;-1165.63;-14.3957;-1039.52;-14.3956;
0.63002;-0.488218;0.00439097;-1108.44;-17.8985;20.3288;-0.00157094;-0.0235123;-1165.58;-14.3957;-1039.47;-14.3955;
0.640021;-0.488227;0.00236844;-1108.38;-17.8985;20.3103;-0.00131327;-0.0238934;-1165.52;-14.3956;-1039.41;-14.3955;
0.650021;-0.488274;0.000641617;-1108.32;-17.8985;20.2918;-0.00112424;-0.0242688;-1165.46;-14.3955;-1039.35;-14.3954;
0.660021;-0.488334;-0.00064585;-1108.27;-17.8986;20.2759;-0.00101177;-0.0245875;-1165.4;-14.3955;-1039.3;-14.3953;
0.670022;-0.488432;-0.00199656;-1108.21;-17.8986;20.2565;-0.000931956;-0.0249725;-1165.35;-14.3954;-1039.24;-14.3953;
0.680022;-0.488533;-0.00306292;-1108.15;-17.8986;20.2386;-0.000902936;-0.0253248;-1165.29;-14.3954;-1039.18;-14.3952;
0.690022;-0.48864;-0.00395771;-1108.1;-17.8987;20.2211;-0.000908723;-0.025668;-1165.24;-14.3953;-1039.13;-14.3951;
0.700023;-0.488744;-0.00617246;-1108.04;-17.8987;20.204;-0.000971693;-0.026002;-1165.18;-14.3952;-1039.07;-14.3951;
0.710023;-0.488866;-0.00586448;-1107.99;-17.8987;20.1861;-0.00106778;-0.0263552;-1165.12;-14.3952;-1039.01;-14.395;
0.720023;-0.488975;-0.00511852;-1107.93;-17.8987;20.1695;-0.0011295;-0.0266846;-1165.07;-14.3951;-1038.96;-14.3949;
0.730024;-0.489076;-0.00579365;-1107.88;-17.8988;20.1528;-0.00120135;-0.0270127;-1165.01;-14.395;-1038.9;-14.3948;
0.740024;-0.489193;-0.00631481;-1107.82;-17.8988;20.1335;-0.00130859;-0.0273903;-1164.95;-14.395;-1038.85;-14.3948;
0.750024;-0.489289;-0.00658348;-1107.77;-17.8988;20.1169;-0.00141543;-0.0277126;-1164.9;-14.3949;-1038.79;-14.3947;
0.760025;-0.489392;-0.00675739;-1107.71;-17.8989;20.0979;-0.00154643;-0.0280801;-1164.84;-14.3948;-1038.73;-14.3946;
0.770025;-0.489481;-0.00682678;-1107.65;-17.8989;20.0804;-0.00167072;-0.0284166;-1164.79;-14.3948;-1038.68;-14.3945;
0.780025;-0.416207;-0.00699146;-1107.6;-17.8989;20.0648;-0.00179238;-0.0287375;-1164.73;-14.3947;-1038.62;-14.3945;
0.790026;-0.3889;-0.00728001;-1107.54;-17.899;20.0497;-0.00193906;-0.0290968;-1164.68;-14.3946;-1038.57;-14.3944;
0.800026;-0.385827;-0.00736112;-1107.48;-17.899;20.0358;-0.0020839;-0.0294369;-1164.62;-14.3945;-1038.51;-14.3943;
0.810026;-0.385266;-0.00724503;-1107.43;-17.899;20.0221;-0.00222668;-0.0297751;-1164.56;-14.3945;-1038.45;-14.3942;
0.820027;-0.371145;-0.0070212;-1107.38;-17.8991;20.0096;-0.00235136;-0.0300847;-1164.51;-14.3944;-1038.4;-14.3941;
0.830027;-0.339832;-0.00678538;-1107.32;-17.8991;19.9956;-0.00249456;-0.0304658;-1164.45;-14.3943;-1038.34;-14.3941;
0.840027;-0.336187;-0.00647673;-1107.26;-17.8991;19.9833;-0.00261476;-0.0308124;-1164.4;-14.3942;-1038.29;-14.394;
0.850028;-0.335389;-0.00607071;-1107.2;-17.8992;19.971;-0.00272314;-0.0311627;-1164.34;-14.3942;-1038.23;-14.3939;
0.860028;-0.334969;-0.00562437;-1107.15;-17.8992;19.959;-0.00281294;-0.0315027;-1164.29;-14.3941;-1038.18;-14.3938;
0.870028;-0.346823;-0.00513922;-1107.09;-17.8993;19.947;-0.00288449;-0.0318409;-1164.23;-14.394;-1038.12;-14.3937;
0.880029;-0.381704;-0.00458776;-1107.04;-17.8993;19.9348;-0.00293494;-0.0321582;-1164.17;-14.3939;-1038.07;-14.3936;
0.890029;-0.388656;-0.00403831;-1106.99;-17.8993;19.9213;-0.00296902;-0.032492;-1164.12;-14.3938;-1038.01;-14.3935;
0.900029;-0.389417;-0.0036209;-1106.93;-17.8994;19.9073;-0.00298667;-0.0328352;-1164.06;-14.3938;-1037.95;-14.3935;
0.91003;-0.389558;-0.00334318;-1106.88;-17.8994;19.8932;-0.00299208;-0.0331822;-1164.01;-14.3937;-1037.9;-14.3934;
0.92003;-0.389657;-0.00317921;-1106.82;-17.8994;19.8785;-0.00298968;-0.0335403;-1163.95;-14.3936;-1037.84;-14.3933;
0.93003;-0.389797;-0.0031161;-1106.76;-17.8995;19.8641;-0.00298347;-0.0338941;-1163.9;-14.3935;-1037.79;-14.3932;
0.940031;-0.373197;-0.0031645;-1106.71;-17.8995;19.8497;-0.00297695;-0.0342523;-1163.84;-14.3934;-1037.73;-14.3931;
0.950031;-0.369854;-0.00327175;-1106.65;-17.8996;19.8366;-0.00297432;-0.0345891;-1163.79;-14.3933;-1037.68;-14.393;
0.960031;-0.371827;-0.00335691;-1106.6;-17.8996;19.8246;-0.00297501;-0.0349;-1163.73;-14.3932;-1037.62;-14.3929;
