Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;m;m;m;m;m;m;
0.830167;-1.28919;-0.00341225;-34.5133;-1.75178;16.8361;-0.00294816;-0.0300471;19.4833;5.24627;5.24476;-60.8585;1.74531;-42.1423;8.82231;14.1687;12.7102;7.73538;
0.840169;-1.29485;-0.00335177;-34.4661;-1.75181;16.789;-0.00296665;-0.030404;19.4203;5.24616;5.24463;-60.7684;1.74519;-42.0614;8.80983;14.1687;12.6686;7.73525;
0.850171;-1.30047;-0.00326911;-34.4192;-1.75184;16.742;-0.00298277;-0.0307588;19.3573;5.24606;5.2445;-60.6783;1.74507;-41.9806;8.79736;14.1686;12.6271;7.73511;
0.860173;-1.306;-0.0039325;-34.3729;-1.75188;16.6952;-0.00301441;-0.0311099;19.2943;5.24595;5.24436;-60.5881;1.74495;-41.8997;8.78488;14.1685;12.5856;7.73498;
0.870175;-1.31153;-0.00436433;-34.3264;-1.75191;16.6479;-0.00307514;-0.0314682;19.2313;5.24584;5.24423;-60.498;1.74483;-41.8189;8.77241;14.1685;12.544;7.73485;
0.880177;-1.31694;-0.00366987;-34.2809;-1.75194;16.6013;-0.00311244;-0.0318267;19.168;5.24574;5.24409;-60.4077;1.74471;-41.738;8.75994;14.1684;12.5025;7.73472;
0.890179;-1.32234;-0.00336233;-34.2353;-1.75198;16.5542;-0.00313124;-0.0321917;19.104;5.24562;5.24395;-60.3166;1.74458;-41.6572;8.74743;14.1683;12.4608;7.7346;
0.900181;-1.32798;-0.00322408;-34.1874;-1.75201;16.5045;-0.00314274;-0.0325778;19.0399;5.24551;5.24381;-60.2255;1.74446;-41.5763;8.73489;14.1683;12.4191;7.73448;
0.910183;-1.33321;-0.0031696;-34.1429;-1.75205;16.4579;-0.00315059;-0.032939;18.9758;5.2454;5.24367;-60.1345;1.74433;-41.4955;8.72236;14.1682;12.3774;7.73436;
0.920185;-1.33856;-0.00314075;-34.0971;-1.75208;16.4096;-0.00315762;-0.0333115;18.9117;5.24528;5.24353;-60.0434;1.7442;-41.4146;8.70983;14.1681;12.3357;7.73424;
0.930187;-1.34388;-0.00311557;-34.0514;-1.75212;16.3611;-0.00316411;-0.0336846;18.8475;5.24517;5.24339;-59.9523;1.74408;-41.3339;8.69729;14.1681;12.294;7.73413;
0.940189;-1.34915;-0.00308279;-34.0059;-1.75215;16.3125;-0.00317001;-0.0340559;18.7828;5.24505;5.24324;-59.8609;1.74395;-41.2537;8.68478;14.168;12.2524;7.73402;
0.950191;-1.35438;-0.00546533;-33.9605;-1.75219;16.2637;-0.0032345;-0.0344288;18.7181;5.24493;5.2431;-59.7696;1.74382;-41.1734;8.67228;14.1679;12.2109;7.73392;
0.960193;-1.35952;-0.0051305;-33.9156;-1.75223;16.215;-0.00333339;-0.0348109;18.6534;5.24481;5.24295;-59.6783;1.74369;-41.0932;8.65978;14.1679;12.1693;7.73381;
0.970195;-1.36467;-0.00412309;-33.8703;-1.75226;16.1656;-0.0033849;-0.0352109;18.5887;5.24469;5.2428;-59.5869;1.74356;-41.0129;8.64728;14.1678;12.1277;7.7337;
