Time;CoG Acceleration/X;CoG Acceleration/Y;CoG position/X;CoG position/Y;Speed/X;Speed/Y;CoG position/Yaw;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;CoG position/X;CoG position/Y;
s;m/s²;m/s²;m;m;km/h;km/h;°;m;m;m;m;m;m;m;m;
0.650177;-0.0542492;0.0850672;-88.6905;-5.22153;19.8778;0.0725565;0.543954;-5.24793;93.1857;-5.24793;124.92;-9.14973;-14.1254;-22.267;-7.73951;
0.66018;-0.0542022;0.0849988;-88.635;-5.2208;19.8758;0.0725647;0.552809;-5.24785;93.1247;-5.24785;124.862;-9.13725;-14.1253;-22.2253;-7.73931;
0.670183;-0.0541254;0.0849373;-88.5793;-5.22005;19.8739;0.072571;0.561677;-5.24777;93.0637;-5.24777;124.803;-9.12475;-14.1252;-22.1836;-7.73911;
0.680186;-0.0540356;0.0848828;-88.5249;-5.21931;19.872;0.0725756;0.570353;-5.24769;93.0026;-5.24769;124.744;-9.11225;-14.1251;-22.1419;-7.7389;
0.690188;-0.053939;0.0848334;-88.4702;-5.21856;19.8701;0.072579;0.579085;-5.24761;92.9414;-5.24762;124.685;-9.09974;-14.125;-22.1002;-7.7387;
0.700191;-0.0538409;0.0847879;-88.414;-5.21779;19.8681;0.0725815;0.588044;-5.24753;92.8796;-5.24753;124.626;-9.08723;-14.1249;-22.0586;-7.73851;
0.710194;-0.053756;0.0847495;-88.3605;-5.21704;19.8663;0.0725828;0.596571;-5.24744;92.8178;-5.24745;124.566;-9.07473;-14.1248;-22.0169;-7.73832;
0.720197;-0.0536805;0.0847135;-88.305;-5.21625;19.8643;0.0725834;0.605419;-5.24736;92.7561;-5.24736;124.507;-9.06223;-14.1246;-21.9753;-7.73814;
0.730199;-0.0536201;0.0846809;-88.2494;-5.21546;19.8624;0.0725834;0.614281;-5.24727;92.6943;-5.24728;124.448;-9.04975;-14.1245;-21.9337;-7.73795;
0.740202;-0.0535761;0.0846512;-88.1938;-5.21465;19.8605;0.0725828;0.62315;-5.24719;92.6322;-5.24719;124.388;-9.03728;-14.1244;-21.892;-7.73776;
