Time(s),Value(mm)
848.6,3.63209400177002
848.62,3.683358335495
848.64,3.73462266921997
848.66,3.78588700294495
848.68,3.83715133666992
848.7,3.8884156703949
848.72,3.93968000411987
848.74,3.99094433784485
848.76,4.03708705035123
848.78,4.03708705035123
848.8,4.03196542913263
848.82,4.02684380791404
848.84,4.02172218669545
848.86,4.01660056547685
848.88,4.01147894425826
848.9,4.00635732303966
848.92,4.00123570182107
848.94,3.99611408060247
848.96,3.99099245938388
848.98,3.98587083816528
849,3.98074921694669
849.02,3.97562759572809
849.04,3.9705059745095
849.06,3.9653843532909
849.08,3.96026273207231
849.1,3.95514111085372
849.12,3.95001948963512
849.14,3.94489786841653
849.16,3.93977624719793
849.18,3.93465462597934
849.2,3.92953300476074
849.22,3.31243181228638
849.24,3.22313284873962
849.26,3.22313284873962
849.28,3.4287109375
849.3,3.54144024848938
849.32,3.54144024848938
849.34,3.48038077354431
849.36,3.47474229335785
849.38,3.47474229335785
849.4,3.49777107768589
849.42,3.49777107768589
849.44,3.45845566855537
849.46,3.41914025942485
849.48,3.37982485029432
849.5,3.3405094411638
849.52,3.30119403203328
849.54,3.26187862290276
849.56,3.22256321377224
849.58,3.18324780464172
849.6,3.18324780464172
849.62,3.41602158546448
849.64,3.45874381065369
849.66,3.46246194839478
849.68,3.4609432220459
849.7,3.4609432220459
849.72,3.36032903194427
849.74,3.36032903194427
849.76,3.75150012969971
849.78,3.75150012969971
849.8,3.70346546173096
849.82,3.47300434112549
849.84,3.45450949668884
849.86,3.47300434112549
849.88,3.45450949668884
849.9,3.44423890113831
849.92,3.38612484931946
849.94,3.35083675384521
849.96,3.25215840339661
849.98,3.23780131340027
850,3.23716694658453
850.02,3.23716694658453
850.04,3.23653257976879
850.06,3.23589821295305
850.08,3.23526384613731
850.1,3.23462947932157
850.12,3.23399511250583
850.14,3.23336074569009
850.16,3.23272637887435
850.18,3.2320920120586
850.2,3.23145764524286
850.22,3.23145764524286
850.24,3.23401477507183
850.26,3.23720627171653
850.28,3.24039776836123
850.3,3.24358926500593
850.32,3.24678076165063
850.34,3.24997225829533
850.36,3.25316375494003
850.38,3.25635525158473
850.4,3.25954674822944
850.42,3.26273824487414
850.44,3.26592974151884
850.46,3.26912123816354
850.48,3.27231273480824
850.5,3.27550423145294
850.52,3.27869572809764
850.54,3.28188722474234
850.56,3.28507872138705
850.58,3.28827021803175
850.6,3.29146171467645
850.62,3.29465321132115
850.64,3.29784470796585
850.66,3.30103620461055
850.68,3.30422770125525
850.7,3.30741919789995
850.72,3.31061069454466
850.74,3.31380219118936
850.76,3.31699368783406
850.78,3.32018518447876
850.8,3.32337668112346
850.82,3.32656817776816
850.84,3.32975967441286
850.86,3.33295117105756
850.88,3.33614266770227
850.9,3.33933416434697
850.92,3.34252566099167
850.94,3.34571715763637
850.96,3.34890865428107
850.98,3.35210015092577
851,3.35529164757047
851.02,3.35848314421518
851.04,3.36167464085988
851.06,3.36486613750458
851.08,3.36805763414928
851.1,3.37124913079398
851.12,3.37444062743868
851.14,3.37763212408338
851.16,3.38082362072808
851.18,3.38401511737279
851.2,3.38720661401749
851.22,3.39039811066219
851.24,3.39358960730689
851.26,3.39678110395159
851.28,3.39997260059629
851.3,3.40316409724099
851.32,3.40635559388569
851.34,3.4095470905304
851.36,3.4127385871751
851.38,3.4159300838198
851.4,3.4191215804645
851.42,3.4223130771092
851.44,3.4255045737539
851.46,3.4286960703986
851.48,3.4318875670433
851.5,3.43507906368801
851.52,3.43827056033271
851.54,3.44146205697741
851.56,3.44465355362211
851.58,3.44784505026681
851.6,3.45103654691151
